arch,name,size
arm,calea,24721
arm64,calea,24721
mipsbe,calea,20625
mmips,calea,20625
ppc,calea,24721
tile,calea,90257
x86,calea,24721
arm,container,286865
arm64,container,1138833
x86,container,1126545
arm,dude,1249425
arm64,dude,1249425
mmips,dude,1364113
tile,dude,1663121
x86,dude,1425553
arm64,extra-nic,2441361
arm,gps,24721
arm64,gps,24721
mipsbe,gps,24721
mmips,gps,24721
ppc,gps,24721
tile,gps,90257
x86,gps,24721
smips,hotspot,135313
arm,iot,835729
arm64,iot,938129
mipsbe,iot,807057
mmips,iot,557201
ppc,iot,589969
tile,iot,749713
x86,iot,594065
arm,iot-bt-extra,438417
arm64,iot-bt-extra,450705
arm,openflow,77969
arm64,openflow,82065
mipsbe,openflow,77969
mmips,openflow,77969
ppc,openflow,94353
tile,openflow,176273
x86,openflow,82065
arm,rose-storage,4358289
arm64,rose-storage,4522129
tile,rose-storage,5148817
x86,rose-storage,5247121
arm64,switch-marvell,9265297
arm,tr069-client,123025
arm64,tr069-client,123025
mipsbe,tr069-client,123025
mmips,tr069-client,127121
ppc,tr069-client,151697
smips,tr069-client,123025
tile,tr069-client,254097
x86,tr069-client,163985
arm,ups,49297
arm64,ups,32913
mipsbe,ups,45201
mmips,ups,45201
ppc,ups,37009
tile,ups,123025
x86,ups,37009
arm,user-manager,344209
arm64,user-manager,344209
mipsbe,user-manager,381073
mmips,user-manager,381073
ppc,user-manager,401553
tile,user-manager,577681
x86,user-manager,422033
arm,wifi-halow-mm,630929
arm,wifi-mediatek,5271697
arm,wifi-qcom,9810065
arm64,wifi-qcom,12689553
arm,wifi-qcom-ac,2691217
arm64,wifi-qcom-be,16568465
arm,wireless,1884305
arm64,wireless,872593
mipsbe,wireless,1421457
mmips,wireless,1421457
ppc,wireless,2785425
smips,wireless,684177
tile,wireless,1527953
x86,wireless,1171601
arm,zerotier,770193
arm64,zerotier,868497
